GLO_WORD;GLO_TEXT
ALBEDO;Relación entre la luz recibida por un cuerpo y la reflejada por éste. Un cuerpo totalmente reflectante presenta un albedo de 1 mientras que un cuerpo totalmente absorvente presentaría valores de 0.
ALTITUD ABSOLUTA;La Luna es casi una esfera de 1747 km de radio, ello explica que las altitudes absolutas de diversos mapas tengan en cuenta el citado radio. Así mismo esto explica por qué las formaciones pueden por tanto presentar altitudes de valores negativos.
ALTITUD RELATIVA;En DBMOON, la altura relativa (también llamada ALTURA) hace referencia a la altura de la formación respecto a los alrededores de la misma.
ALTURA;En DBMOON, la altura hace referencia a la ALTITUD RELATIVA respecto a los alrededores de la formación.
ANGULO DE FASE;Angulo entre el Sol y la Tierra visto desde el centro de un planeta. Está relacionado con la fase de un planeta o porción del disco iluminado tal como se ve desde la Tierra. Para un planeta interior como Mercurio y Venus el ángulo de fase adquiere cualquier valor, siendo 0 en la conjunción superior, 180 en la conjunción inferior.
APOGEO;Punto álgido, más distante respecto al centro de giro, de una órbita elíptica
APOLLO (o Apolo);Misión tripulada de los EE.UU. cuyo objetivo y logro fue posar hombres sobre la Luna
ARROYO (o Rima);Lineas sinuosas encontradas en los MARes formado por viejos flujos de LAVA o viejos túneles de LAVA que han colapsado. También se conoce como RIMA.
BASALTO;Roca ígnea (surgida de materiales fundidos y no de sedimentos ni de transformaciones de otras rocas/minerales por acción del medio) que es encontrada como LAVA solidificada y está presente en el magma. Diversos tipos se han encontrado en las muestras lunares traídas por las misiones APOLLO.
CALDERA;Cráter volcánico de gran tamaño.
CARA OCULTA;Parte de la superficie lunar que debido a la correlación entre los movimientos de traslación y rotación (ROTACIÓN SINCRÓNICA) queda oculta al observador. Parte de esta área se hace visible cuando se dan LIBRACIONes favorables.
CARA VISIBLE;Hemisferio que la Luna siempre presenta de cara a la Tierra (el que es totalmente visible en LUNA LLENA)
CATENA;Palabra del latín que se usa por la Unión Astronómica Internacional (IAU en sus siglas en inglés) y que hace referencia a una serie de cráteres encadenados.
COLONGUITUD;Dato matemático obtenido de tablas precalculadas que permite conocer la LONGUITUD SELENOGRAFICA del TERMINADOR DEL AMANECER o del TERMINADOR DEL ATARDECER.
CONTINENTE;Gran extensión de terreno lunar con abundante montañismo o grandes elementos orográficos.
COORDENADAS SELENOGRAFICAS;Conjunto de datos compuesto por la LONGUITUD SELENOGRAFICA y la LATITUD SELENOGRAFICA que se usa para localizar cualquier punto sobre la superficie lunar.
