GLO_WORD;GLO_TEXT
AGE DE LA LUNE;Intervalle de temps exprimé en jours qui s'est écoulé depuis la précédente NOUVELLE LUNE.
ALBEDO;Fraction de la quantité de lumière reçue par un astre réfléchie par ce même astre. Un astre totalement réfléchissant a un albédo égal à 1 et un astre totalement absorbant un albédo égal à 0.
ALTITUDE ABSOLUE;La Lune est une sphère moyenne de 1738 km de rayon. Les altitudes absolues données sur certaines cartes font référence à ce rayon. L'altitude absolue d'une formation peut donc être négative.
ALTITUDE RELATIVE;Les altitudes données dans l'Atlas Virtuel de la Lune sont des altitudes relatives appelées HAUTEUR. Elles indiquent l'élévation de la formation par rapport aux terrains environnants.
ANGLE DE PHASE;Angle formé par les axes Terre-Soleil et Terre-Lune. Permet de connaître la fraction éclairée de la FACE VISIBLE de la Lune.
APOGEE;Point le plus éloigné de l'orbite elliptique d'un astre tournant autour de la Terre.
CALDEIRA;CRATERE de VOLCAN de grande taille généralement formé par l'explosion de la cheminée bouchée par la LAVE.
CAP;
CATENA;Terme latin utilisé par l'Union Astronomique Internationale (UAI) pour désigner officiellement une CHAINE DE CRATERES.
CHAINE DE CRATERES;
CHAINE DE MONTAGNE;
CLAIR DE LUNE;
CLAIR DE TERRE;Equivalent du CLAIR DE LUNE pour un hypothétique habitant de la Lune.
COLONGITUDE;Donnée mathématique obtenue par calcul à partir de tables préétablies permettant de connaitre la LONGITUDE SELENOGRAPHIQUE du TERMINATEUR DU MATIN ou du TERMINATEUR DU SOIR.
CONTINENT;Région étendue montagneuse ou tourmentée de la surface de la Lune.
COORDONNEE SELENOGRAPHIQUE;Ensemble de coordonnées composé de la LONGITUDE SELENOGRAPHIQUE et de la LATITUDE SELENOGRAPHIQUE permettant de situer une formation sur le globe lunaire.
CRATERE;Sur la Lune, formation généralement circulaire provoquée par la chute d'une météorite. Les FORMATIONs CRATERIFORMEs dont le diamètre est supérieur à 10 km dans DBLUNE sont appelées 'cratère'. Leur LONGUEUR est égale à la LARGEUR sauf exception.
CRATERLET;FORMATION CRATERIFORME de petit diamètre ( à priori moins de 10 km ) en forme de bol avec FOND arrondi.
DBLUNE;La base de donnée de l'Atlas Virtuel de la Lune, écrite par Christian Legrand.
DERNIER QUARTIER;Aspect du disque lunaire à moitié éclairé par le Soleil environ 7 jours après la PLEINE LUNE. Le Dernier Quartier s'observe le matin. La Lune et le Soleil sont à 90° l'un de l'autre pour un observateur terrestre.
DOME;Formation lunaire en forme de colline arrondie sans doute volcanique. Certains présentent une CALDEIRA au sommet de quelques km. Leur diamètre est compris entre 10 et 20 km et leur HAUTEUR ne dépassent pas quelques centaines de mètres.
DORSA;Terme latin utilisé par l'Union Astronomique Internationale (UAI) pour désigner officiellement un système de DORSALEs marines lunaires.
DORSALE;Crête montagneuse linéaire à pentes douces et de faible HAUTEUR ( quelques centaines de mètres ) serpentant dans les MERs lunaires. Elles sont vraisemblablement d'origine volcanique.
DORSUM;Terme latin utilisé par l'Union Astronomique Internationale (UAI) pour désigner officiellement une DORSALE marine lunaire.
ECLIPSE ANNULAIRE;Se dit des ECLIPSEs TOTALEs au cours desquelles la distance de la Lune est maximale. Le disque lunaire ne parvenant pas à cacher la totalité du disque solaire.
ECLIPSE DE LUNE;Disparition du disque lunaire du fait de son passage dans l'ombre ou la pénombre de la Terre. Ce phénomène n'a lieu que lorsque le Soleil, la Terre et la Lune sont alignés lors de certaines PLEINEs LUNEs.
ECLIPSE DE SOLEIL;Disparition du disque solaire derrière le disque lunaire lors de certaines NOUVELLEs LUNEs lorsque le Soleil, la Lune et la Terre sont alignés.
ECLIPSE PARTIELLE;Se dit des ECLIPSEs DE LUNE ou des ECLIPSEs DE SOLEIL lorsque l'astre occulteur n'obscurcit que partiellement l'astre occulté.
ECLIPSE TOTALE;Se dit d'une ECLIPSE DE LUNE ou d'une ECLIPSE DE SOLEIL lorsque l'astre occulté est totalement caché par l'astre occulteur.
ESCARPEMENT;Pente plus ou moins marquée séparant deux terrains avoisinants et d'ALTITUDEs RELATIVEs différentes.
FACE CACHEE;Partie du globe lunaire située de l'autre côté de la Lune et invisible depuis la Terre du fait de la ROTATION SYNCHRONE de la Lune. On peut voir une petite partie limitrophe de la face cachée de la Lune grâce au phénomène des LIBRATIONs.
FACE VISIBLE;Partie du globe lunaire toujours dirigée vers la Terre du fait de la ROTATION SYNCHRONE de la Lune. On peut pourtant voir une petite partie de la FACE CACHEE de la Lune grâce au phénomène des LIBRATIONs.
FOND;Partie interne d'une FORMATION CRATERIFORME comprise à la base des MURAILLEs.
FORMATION CRATERIFORME;Les formations cratériformes d'origine météoritique (CRATERE, CRATERLET et PLAINE MUREE) comportent des REMPARTs s'élevant au dessus des terrains avoisinants une MURAILLE en pente descendant vers l'intérieur de la formation et un FOND interne.
GOLFE;Terrain de type MER avec FOND sombre plat peu étendu enclavé dans les CONTINENTs au bord des MERs.
HAUTEUR;Dans DBLUNE la hauteur d'une formation constitue en fait son ALTITUDE RELATIVE par rapport aux terrains avoisinants.
LAC;Terrain de type MER à FOND sombre et plat peu étendu entièrement enclavé dans les CONTINENTs.
LACUS;Terme latin utilisé par l'Union Astronomique Internationale (UAI) pour désigner officiellement un LAC lunaire.
LATITUDE SELENOGRAPHIQUE;La latitude des formations lunaires est exprimée en degrés décimaux. Le Nord est en haut et le Sud en bas pour la Lune observée à l'oeil nu. Les latitudes des formations situées au Sud de l'équateur lunaire sont négatives.
LARGEUR;
LAVE;
LIBRATION;Oscillation apparente de la Lune pour un observateur terrestre permettant de découvrir la partie limitrophe de la FACE CACHEE. Il existe 3 types de librations : LIBRATION EN LONGITUDE, LIBRATION EN LATITUDE, et LIBRATION DIURNE.
LIBRATION DIURNE;
LIBRATION EN LATITUDE;Du fait de l'inclinaison du plan de l'ORBITE LUNAIRE par rapport au plan de l'orbite terrestre
LIBRATION EN LONGITUDE;Du fait de la vitesse de ROTATION constante de la Lune et de sa vitesse variable pendant sa REVOLUTION la libration en longitude permet de voir les parties limitrophes Est et Ouest de la FACE CACHEE.
LIBRATION PHYSIQUE;Véritable balancement de l'axe de rotation de la Lune. Ils sont limités à quelques minutes d'arc et dus aux variations de l'attraction terrestre, compte tenu de l'inhomogénéité de l'intérieur de la Lune.
LIGNE DES NOEUDS;Droite matérialisant l'intersection entre le plan de l'orbite terrestre et le plan de l'orbite lunaire. Elle se projette sur la sphère céleste au niveau des NOEUD ASCENDANT et NOEUD DESCENDANT. Elle effectue une révolution en 18.61 ans de façon rétrograde.
LONGITUDE SELENOGRAPHIQUE;La longitude des formations lunaires est exprimée en degrés décimaux. L'Est est à droite et l'Ouest à gauche pour la Lune observée à l'oeil nu. La longitude des formations lunaires situées à l'Ouest du méridien central est négative.
LONGUEUR;
LUMIERE CENDREE;Phénomène se traduisant entre la NOUVELLE LUNE et les QUARTIERs lorsque la Lune est dite "en croissant". La partie non éclairée par le Soleil est néanmoins visible car elle reçoit la lumière reflétée par la Terre encore appelée CLAIR DE TERRE.
LUNAISON;
