GLO_WORD;GLO_TEXT
ABSOLÚTNA ALTITÚDA;Mesiac je guľa s priemerným polomerom 1829 míľ. Absolútne altitúdy dané na rôzných mapách vzťahujú sa na tento polomer. Absolútna altitúda útvaru môže byť záporna.
ALBEDO;Pomer medzi množstvom prijatého svetla nebeského telesa a množstvom odrazeného. Úplne zrkadlové teleso má albedo rovnajúce sa 1 a úplne pohlcujúce teleso má albedo rovnajúce sa 0.
ANOMÁLNY MESIAC;Časový úsek oddeľujúci dva Mesiace umiestnené na LUNÁRNOM OBEŽNOM PERIGEUME.
APOGEUM;Najvzdialenejší bod eliptickej obežnej dráhy Zeme obiehajúce nebeské teleso.
APOLLO;Americký program ľudskej misie prístatia na Mesiaci.
ČADIČ;Vyvretá hornina ktorá sa dá nájsť ako stuhnutá LÁVA a je prítomna v magme. Niekoľko druhov boli nájdené v mesačných skalách prinesených späť na Zem misiou Apollo.
ČIASTOČNÉ ZATMENIE;Čiastočné zatmenie slnka alebo mesiaca nastáva keď cloniace teleso neúplne zakryje druhé nebeské teleso.
DB-MESIACA;Databáza Virtual Moon Atlasu, napísana Christianom Legrandom.
DNO;Vnútorná časť KRÁTER TVARUJÚCEJ FORMÁCIE zahrnutá v podklade STENY.
DORZA;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie VRASKOVÉHO HREBEŇOVÉHO SYSTÉMU.
DORZUM;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie VRASKOVÉHO HREBEŇa.
FÁZA;Stav zmeny Mesiaca vytvorený pri zmenách osvetleného povrchu a pozície TERMINÁTORu  na mesačnej guli. Štyri hlavné fázy boli zadefinované: NOV, PRVÁ ŠTVRŤ, SPLN, POSLEDNÁ ŠTVRŤ.
FÁZOVY UHOL;Uhol medzi osou Zem / Slnko a Zem / Mesiaca. Používany k zisteniu osvetleného podielu PRIVRÁTENEJ STRANY Mesiaca.
HORA;Mesačné hory boli obvykle vytvorené keď MORIA boli vytvorené. Ich VRCHOL môže dosiahnúť 20,000 stôp. Niekedy sú izolované (MONS) alebo spojené v POHORIACH (MONTES).
JAZERO;MORSKÝ typ a malá rozšírená area plocha oblasť a tmavé DNO celkom zahrnuté do KONTINENTu.
KALDERA;Značne veľký KRÁTER VULKÁNA.
KATENA;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie reťazu kráterov.
KLESAJÚCI MESIAC;Populárny výraz o periode oddeľujúci SPLN od NOVu a zahrňujúci POSLEDNÚ ŠTVRŤ.
KOLONGITÚDA;Matematické dáta získane z daných tabuliek používaných na zistenie SELENOGRAFICKEJ LONGITÚDY RANNÉHO TERMINÁTORA alebo VEČERNÉHO TERMINÁTORA.
KONTINENT;Rozsiahlá hornatá alebo umorná lunárna plošná oblasť.
KRÁTER;Na Mesiaci, obvykle kruhovitá formácia vznikajúce pri meteoritických dopadoch. KRÁTER TVARUJÚCE FORMÁCIE sú nazývané krátery v DB-MESIACa ak ich priemer je väčší ako 5 míľ. DĹŽKA sa rovná ŠÍRKE ale s výnimkami (Schiller).
KRÁTER TVARUJÚCA FORMÁCIA;Kráter tvarujúca formácia sú výtvorené pri meteoritických dopadoch (KRÁTER, CRATERLET a VALOVÁ PLANINA). Sú zložené so SVAHOCH vystupujúce nad okolitý terén, STIEN klesajúcich do formácie a vnútorných DNÁCH.
KRÁTERČEK;Malý diameter KRÁTER TVARUJÚCEJ FORMÁCIE s miskovitým tvarom a zaobleným DNOm.
KUPOLA;Lunárny tvarovaný kopec a iste vulkanická formácia. Niektoré z ních majú na svojom vrchu KALDERU. Priemer kupol sú  medzi 5 a 10 míľ a ich VÝŠKA je menej než par stoviek metrov.
KUPOLOVITÝ SYSTÉM;Veľký KUPOLOVITÝ komplex nachadzajúci sa na rovnakej mesačnej oblasti.
LACUS;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie JAZERA.
LÁVA;Veľmi horúce tekuté tečúce horniny vyvierajúce z vulkanických formácií. Láva je podstatná zložka mesačných MORÍ.
LIBRÁCIA;Zdanlivá oscilácia Mesiaca voči pozemskému pozorovateľovy. S tým efektom, je možné pozorovať malú časť ODVRÁTENEJ STRANY. Sú 3 rôzne librácie: LIBRÁCIA V LONGITÚDE, LIBRÁCIA V LATITÚDE a DENNÁ LIBRÁCIA.
LIBRÁCIA V LATITÚDE;Pretože LUNÁRNA ORBITA inklinuje v porovnaní so zemskou orbitou okolo Slnka, je možné vidieť za severné a južné hraničné časti ODVRÁTENEJ STRANY Mesiaca.
LIBRÁCIA V LONGITÚDE;Vzhľadom na konštantnú RÝCHLOSŤ ROTÁCIE a premenlivú RÝCHLOSŤ OBEŽNEJ DOBY Mesiaca, librácia v longitúde dovoľuje pozemskému pozorovateľovy vidieť za východné a západné hranice ODVRÁTENEJ STRANY Mesiaca.
LIBRÁČNÁ ZÓNA;Hranice PRIVRÁTENEJ STRANY a ODVRÁTENEJ STRANY nachadzajúce sa okolo 90° západne a 90° východne striedavo skrývajú pri lunárných LIBRÁCIÍ.
LUNA;Sovietká lunárna séria sond
LUNAR ORBITER;Americká lunárna sonda objehajúca Mesiac.
LUNÁRNY MESIAC;Tiež nazývaný SYNODICKÝ MESIAC alebo SYNODICKÁ OBEŽNÁ DOBA. Časový úsek oddeľujúci nasledujúce SPLNy.
LUNÁRNA NOMENKLATÚRA;Zoznam mesačných mien formácií oficialne prijatý International Astronomical Union (IAU).
LUNÁRNE TOPONIMIA;Pôvodné mesačné mená formácií.
LUNOCHOD;Sovietský mobilný prostriedok, ktorý pristal na povrchu pomocou dvoch LUNA sond.
MARE;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie MORA.
MASCON;"Z ""MASs CONcentration"". Hmota koncentrácie umiestnenej pod plochou mesačných morií v ktorých hustota materiálu je vyššia ako stredná. Mohlo by isť o zvyšky MORA pôvodných METEORITOV."
MERÍDIAN;Imaginárna priamka spájajúca mesačné póly a používaný pre určenie SELENOGRAFICKEJ LONGITÚDY mesačnej formácie.
MONS;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie izolovaných HÔR.
MONTES;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie POHORÍ.
MORE;Rozsiahlá, plochá a tmavá oblasť s VRASKOVÝmi HREBEŇmi, ZLOMami a izolovanými KRÁTERmi. Vytvorily sa prúdmi ČADIČovej LÁVY.
NOV;Mesačná FÁZA keď Mesiac ukazuje Zemy svoj neosvetlený a neviditeľný disk, keď prejde medzi Slnkom a Zeme. Štartovací bod nového LUNÁRNEHO MESIACA a pohybu niektorých ZATMENÍ SLNKA.
OBEŽNÁ DOBA;Čas potrebný, pre dané nebeské teleso, na urobenie obehu okolo "hlavného" telesa. Poznáme SIDERICKÚ OBEŽNÚ DOBU a SYNODICKÚ OBEŽNÚ DOBU."
OCEÁN;Meno dané Ricciolim jednému mesačnému MORU: "Oceán búrok".
OCEANUS;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie OCEÁNu.
ODVRÁTENÁ STRANA;Časť mesačnéj plochy umiestnenej na odvrátenej strane a nikdy vyditeľná zo Zeme. Malá časť odvrátenej strany Mesiaca možno vidieť keď nastane priaznivá LIBRÁCIA.
PALUS;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie mesačnéko MOČIARA.
PERIGEUM;Najbližší bod na eliptickej orbite nebeského telesa obehujúce Zem.
POPELAVÉ SVETLO;Mesačný úkaz medzi NOVom a PRVOU alebo POSLEDNOU ŠTVRŤOU, keď Mesiac má kosákovitý tvar. Neosvetlená časť mesačného disku je slabo vyditeľná pretože prijíma odrazené svetlo zo Zeme tiež nazývane ZEMSKÝ TIEŇ.
POSLEDNÁ ŠTVRŤ;Stav mesačného disku keď je osvetlená polovica okolo 7 dní po NOVe. Posledná štvrť sa môže pozorovať ráno. Mesiac a Slnko sú pod uhlom 90° pre pozorovateľa na Zemi.
PRIVRÁTENA STRANA;Mesačná pologuľa vždy vyditeľná zo Zeme.
PROMONTORIUM;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie MISu.
PRSTENCOVÉ ZATMENIE;Pri niektorých ÚPLNÝCH ZATMENIACH a keď vzdialenosť Mesiaca je najväčšia, mesačný disk nemôže celkom zakryť slnečný disk a jasný prsteň ostáva vyditeľný.
PRVÁ ŠTVRŤ;Stav mesačného disku keď osvetlená je polovica okolo 7 dní po NOVe. Prvá štvrť sa môže pozorovať večer. Mesiac a Slnko sú pod uhlom 90° pre pozorovateľa na Zemi.
RANGER;Americká mesačná sonda padnutá na Mesiac.
RANNÝ TERMINÁTOR;Ranný terminátor je mesačná oblasť kde vychádza slnko. Pre pozemského pozorovateľa večer, môže ho pozorovať medzi NOVom a SPLNom.
RASTÚCI MESIAC;Populárny výraz popisujúci periódu medzi NOVom a SPLNom a zahrňujúci PRVÚ ŠTVRTINU.
REGOLIT;Mesačná povrchová vrstva prachu vytvorená povrchovou vrstvou skál rozdrvenou pod permanentným meteoritickým bombardovaním.
RIMA;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie ZLOMu.
RIMAE;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie ZLOMOVÉHO SYSTÉMU.
ROTÁCIA;Čas potrebný nebeskému telesu otočiť sa okolo svojej osi pre externého pozorovateľa.
ROVNOBEŽKA;Imaginárna paralelná čiara k mesačnému rovníku a použivaná pre určenie SELENOGRAFICKEJ LATITÚDE mesačnej formácie.
RYHA;Lineárna a kľukatá formácia zvyčajne nachadzajúca sa v MORIACH. Sú tu určite staré lávove prúdy alebo staré lávove tunely ktorého strecha spadla.
RYHOVÝ SYSTÉM;Niekoľko spojených mesačných ZLOMov.
RUPES;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie ZRÁZu.
SELENOLÓGIA;V astronómií, odbor ktorý skúma tvar, veľkosť a gravitačný vplyv Mesiaca.
SELENOGRAFICKÉ KOORDINÁTY;Súbor dát pozostavajúci so SELENOGRAFICKEJ LONGITÚDY a SELENOGRAFICKEJ LATITÚDY používané pre lokalizovanie formácie na mesačnom povrchu.
SELENOGRAFICKÁ LATITÚDA;Mesačná latitúda formácií je daná v arc stupňoch. Sever je hore, juh je dole pre Mesiac keď sa pozoruje s holými očami. Latitúda formácií umiestnených pod mesačným rovníkom je záporna.
SELENOGRAFICKÁ LONGITÚDA;Mesačná longitúda formácií je daná v arc stupňoch. Východ je vpravo, západ je vľavo pre Mesiac keď sa pozoruje s holými očami. Longitúda formácií umiestnených na západ od centrálneho poludníka je záporna.
SELENOGRAFIA;Astronómický odbor ktorý mapuje povrch Mesiaca. Tiež zahrňuje popisi mesačných útvarov a vývoj mesačej TERMINOLÓGIÍ.
SIDERICKÝ MESIAC;Tiež nazývaný SIDERICKÁ OBEŽNÁ DOBA. Časová doba oddeľujúca rovnakú pozíciu Mesiaca k hviezdnej oblohe.
SIDERICKÁ OBEŽNÁ DOBA;Čas potrebný, pre dané nebeské teleso, na otočenie okolo osi, vzhľadom pozícií hviezd a k pozemskému pozorovateľovy.
SINUS;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie ZÁLIVu mesačného MORA.
SPLN;Stav mesačného disku keď je kompletne osvetlený Slnkom. Táto FÁZA nastáva keď Slnko, Zem a Mesiac sú na rovnakej linií.
STENY;"Časť KRÁTER TVARUJÚCEJ FORMÁCIE umiestnenej medzi vrcholkov SVAHOV a DNOm. Jeho výška sa mení z ""málo vysokých"" ( <1.000 m ) do ""veľmy vysokých"" ( >4.000 m )."
SVAHY;"Časť KRÁTER TVARUJÚCEJ FORMÁCIE začinajúcej na okolitej ploche a rastúca až po okraj STENY. Ich stav sa mení z ""plochý"" do ""veľmy umorený"" ak obsahujú radiálne ˇUDOLIA."
SURVEYOR;Americká séria sond ktoré pristaly na Mesiaci.
