GLO_WORD;GLO_TEXT
ALBEDO;Rapporto tra la quantità di luce ricevuta e la quantità di luce riflessa da un corpo celeste. Un corpo completamente riflettente ha un'albedo uguale ad 1 e un corpo totalmente assorbente ha un'albedo uguale a 0.
ALTEZZA;Nella base di dati DBMOON, l'altezza di una formazione è in realtà la sua ALTITUDINE RELATIVA, rispetto alle aree circostanti.
ALTITUDINE ASSOLUTA;La Luna è una sfera di raggio medio pari a 1738 Km. Le altitudini assolute riportate su alcune mappe fanno riferimento a tale raggio. L'altitudine assoluta di una formazione può dunque essere anche negativa.
ALTITUDINE RELATIVA;Il valore dell'altitudine riportata nella base di dati DBMOON è un'altitudine relativa, detta anche ALTEZZA. Si tratta dell'altezza della formazione rispetto alle zone circostanti.
ANGOLO DI FASE;Angolo tra la congiungente Terra-Sole e la congiungente Terra-Luna. Permette di conoscere la frazione illuminata della FACCIA VISIBILE della Luna.
APOGEO;Posizione più lontana di un corpo celeste in orbita ellittica attorno alla Terra.
APOLLO;Missioni americane con equipaggio, progettate per scendere sulla Luna.
BASALTO;Roccia ignea che si trova come LAVA solidificata ed è presente nel magma. Vari tipi di basalto sono stati trovati nelle rocce lunari, riportate sulla Terra dalle missioni APOLLO.
CALDERA;CRATERE vulcanico di grandi dimensioni.
CATENA;Nome latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente una catena di crateri (ved. CRATERE).
CATENA MONTUOSA;Sistema costituito da un certo numero di montagne (ved. MONTAGNA), allineate tra loro, spesso a forma di semicerchio. La loro origine probabilmente non è di natura tettonica, ma da impatto.
CHIARO DI TERRA;Equivalente al "chiaro di Luna", per un ipotetico abitante del nostro satellite. Indicato generalmente con il termine di LUCE CINEREA.
CIRCO;FORMAZIONE CRATERIFORME di grande diametro (più di 80 Km) e che presenta un FONDO piatto e allargato.
COLONGITUDINE;Dato matematico, ottenuto mediante calcolo a partire dalle tavole lunari, che permette di conoscere la LONGITUDINE SELENOGRAFICA del TERMINATORE MATTUTINO e del TERMINATORE SERALE.
CONTINENTE;Una delle grandi formazioni montuose o zone tormentate della superficie lunare.
COORDINATE SELENOGRAFICHE;Coppia di coordinate, costituita dalla LONGITUDINE SELENOGRAFICA e dalla LATITUDINE SELENOGRAFICA, usate per localizzare una formazione sul globo lunare.
CRATERE;Sulla Luna, formazione generalmente circolare, provocata dalla caduta di un meteorite. Una FORMAZIONE CRATERIFORME, il cui diametro superi 10 Km, nella base di dati DBMOON è chiamata "cratere". La LARGHEZZA è uguale alla LUNGHEZZA, salvo eccezioni (Schiller).
CUPOLA;Formazione lunare a forma di collina arrotondata e certamentee vulcanica. Alcune di queste formazioni presentano una CALDERA sulla loro sommità. Il loro diametro è compreso tra 10 e 20 Km, e la loro ALTEZZA non supera poche centinaia di metri.
DBMOON;La base di dati del programma "Atlante Lunare Virtuale", compilata da Christian Legrand.
DORSA;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente un SISTEMA DI DORSALI.
DORSALE;Cresta montuosa rettilinea con lievi pendenze e moderata ALTEZZA. L'origine di questo tipo di formazioni è probabilmente vulcanica.
DORSUM;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente una DORSALE.
ECLISSE ANULARE;In qualche ECLISSE TOTALE e quando la distanza della  Luna è massima, il disco lunare può non riuscire a coprire completamente il sole, e quindi rimane visibile un anello luminoso.
ECLISSE DI LUNA;Sparizione del dico lunare durante il passaggio nell'ombra o nella penombra della Terra. Questo fenomeno avviene quando il Sole, la Terra e la Luna sono allineati tra loro, in alcune occasioni di LUNA PIENA.
ECLISSE DI SOLE;Sparizione del disco solare dietro il disco lunare, durante alcune rare occasioni di LUNA NUOVA, quando i centri del Sole, della Luna e della Terra sono esattamente allineati.
